VOLTAITEM;STAITEMNBR;IST-Bestand;VOLTAUOM;Beschreib;Ort;VOLTAITEM;STAITEMNBR;
C1000373-AA;ST0019074;27;EA;FIRE EXTINGUISHER MOUTIN;Auktion;C1000373-AA;ST0019075;Metal Fabrication
C1000373-AA;ST0019074;4;EA;FIRE EXTINGUISHER MOUTIN;12061000;C1000373-AA;ST0019075;Metal Fabrication
C1000374-AA;ST0019075;1;EA;16T CANTILEVER TAIL LIFT;Auktion;C1000374-AA;ST0019076;Others (Sealing, NVH, Hoses, …)
C1000378-AA;ST0019279;58;EA;RADAR BRACKET SPACER;47J10104;C1000378-AA;ST0019280;Metal Fabrication
C1000382-AA;ST0019283;14;EA;FRONT BUMPER ASSY - REWO;W0203031;C1000382-AA;ST0019284;Metal Fabrication
C1000386-AA;ST0019286;6;EA;LOADBOX 16T AMBIENT LHD;Auktion;C1000386-AA;ST0019287;Others (Sealing, NVH, Hoses, …)
C1000397-AB;ST0020054;22;EA;IP LOWER SUPPORT BRACKET;12036218;C1000397-AB;ST0020055;Metal Fabrication
C1000397-AB;ST0020054;12;EA;IP LOWER SUPPORT BRACKET;U7005011;C1000397-AB;ST0020055;Metal Fabrication
C1000397-AB;ST0020054;0;EA;IP LOWER SUPPORT BRACKET;WE47A;C1000397-AB;ST0020055;Metal Fabrication
C1000398-AB;ST0020055;9;EA;IP LOWER SUPPORT BRACKET;U7005011;C1000398-AB;ST0020056;Metal Fabrication
C1000398-AB;ST0020055;0;EA;IP LOWER SUPPORT BRACKET;WE47A;C1000398-AB;ST0020056;Metal Fabrication
C1000398-AB;ST0020055;33;EA;IP LOWER SUPPORT BRACKET;12036218;C1000398-AB;ST0020056;Metal Fabrication
C1000399-AC;ST0023717;0;EA;IP LOWER-SUPPORT BRACKET;WE47A;C1000399-AC;ST0023718;Metal Fabrication
C1000399-AC;ST0023717;5;EA;IP LOWER-SUPPORT BRACKET;12036218;C1000399-AC;ST0023718;Metal Fabrication
C1000399-AC;ST0023717;33;EA;IP LOWER-SUPPORT BRACKET;U7005011;C1000399-AC;ST0023718;Metal Fabrication
